date,matchday,home_team,away_team,home_score_full_time,away_score_full_time,home_score_half_time,away_score_half_time,goal_diff,winner,defeat,ref
2024-05-12T13:30:00Z,33,darmstadt,hoffenheim,0,6,0,5,6,hoffenheim,darmstadt,florian badstübner
2024-05-12T15:30:00Z,33,bayern,wolfsburg,2,0,2,0,2,bayern,wolfsburg,bastian dankert
2024-05-12T17:30:00Z,33,bochum,leverkusen,0,5,0,2,5,leverkusen,bochum,benjamin brand
2024-05-18T13:30:00Z,34,hoffenheim,bayern,4,2,1,2,2,hoffenheim,bayern,marco fritz
2024-05-18T13:30:00Z,34,frankfurt,rb leipzig,2,2,0,1,0,draw,draw,felix zwayer
2024-05-18T13:30:00Z,34,union berlin,freiburg,2,1,0,0,1,union berlin,freiburg,christian dingert
2024-05-18T13:30:00Z,34,wolfsburg,mainz,1,3,1,1,2,mainz,wolfsburg,frank willenborg
2024-05-18T13:30:00Z,34,stuttgart,m'gladbach,4,0,2,0,4,stuttgart,m'gladbach,daniel schlager
2024-05-18T13:30:00Z,34,heidenheim,1. fc köln,4,1,3,0,3,heidenheim,1. fc köln,tobias welz
2024-05-18T13:30:00Z,34,bremen,bochum,4,1,1,0,3,bremen,bochum,martin petersen
2024-05-18T13:30:00Z,34,leverkusen,augsburg,2,1,2,0,1,leverkusen,augsburg,matthias jöllenbeck
2024-05-18T13:30:00Z,34,dortmund,darmstadt,4,0,2,0,4,dortmund,darmstadt,daniel siebert
